מי שפיר,count,concept,cp
דמיים,216,249134008,4091664
ללא מי שפיר,8,289292001,4091664
מים בעלי ריח רע,2,408782002,4237326
מים מקוניאליים +1,832,408792005,4237330
מים מקוניאליים +2,522,408793000,4254197
מים מקוניאליים +3,120,408794006,4248839
מקוניום 1+,2,408792005,4237330
מקוניום 2+,7,408793000,4254197
נקיים,134,168090003,4043928
נקיים/צלולים,12487,168090003,4043928
צלולים,5,168090003,4043928
