delivery_way,Count of, concept,cp
השראת לידה,3,289259007,4125611
לידת מלקחיים,51,302383004,4114637
לידת עכוז וגינלית,196,237311001,4034145
ניתוח קיסרי אלקטיבי,5048,200148001,4061457
ניתוח קיסרי דחוף,6321,200149009,4066112
ניתוח קיסרי דחייה,3,200148001,4061457
ספונטני,49963,289259007,4125611
שולפן ריק,4324,200138003,442069
